testDataY,predDataY,predCI_low,predCI_upp,group,var,modelType
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
12.47261,12.472615,12.472615,12.472615,group1,pH,CONST
5.705148e-07,5.705074022965478e-07,5.70331065194838e-07,5.706837393982575e-07,group1,nSi(aq),GPY
1.519597e-06,1.519603473829377e-06,1.5195408084762456e-06,1.5196661391825084e-06,group1,nSi(aq),GPY
8.983161e-07,8.983060320880105e-07,8.982609837941462e-07,8.983510803818749e-07,group1,nSi(aq),GPY
5.390883e-07,5.390675262823127e-07,5.389707471548988e-07,5.391643054097265e-07,group1,nSi(aq),GPY
6.654024e-07,6.653919248378047e-07,6.653287317542614e-07,6.65455117921348e-07,group1,nSi(aq),GPY
2.15944e-06,2.159470725633231e-06,2.1594087467407767e-06,2.1595327045256855e-06,group1,nSi(aq),GPY
2.888386e-06,2.88846747258191e-06,2.8883295821967186e-06,2.8886053629671015e-06,group1,nSi(aq),GPY
2.804251e-06,2.804220337986001e-06,2.80417180056191e-06,2.804268875410092e-06,group1,nSi(aq),GPY
6.520755e-07,6.520658992096512e-07,6.518314634529048e-07,6.523003349663976e-07,group1,nSi(aq),GPY
7.285153e-07,7.284403914639557e-07,7.282655478434609e-07,7.286152350844505e-07,group1,nSi(aq),GPY
1.033864e-06,1.033852322656365e-06,1.0337592154178612e-06,1.0339454298948688e-06,group1,nSi(aq),GPY
1.403125e-06,1.4031202554634776e-06,1.403079618864996e-06,1.4031608920619594e-06,group1,nSi(aq),GPY
1.778329e-06,1.7782685371450164e-06,1.7782194673666655e-06,1.7783176069233672e-06,group1,nSi(aq),GPY
