group,var,modelType,R2_mean,RMSE_mean,MAE_mean
group1,pH,CONST,0.0,0.0,0.0
group1,nSi(aq),GPyModel,0.9999999756662541,-1.2979824202142528e-10,-8.075359758131945e-11
group2,pH,GPyModel,0.9962211550884827,-0.05091923269704057,-0.020450203664873004
group2,nSi(aq),GPyModel,0.9873010091975747,-4.9006431645432315e-06,-1.8704021536505713e-06
group3,pH,CONST,0.0,0.0,0.0
group3,nSi(aq),linear,0.9999998846009313,-3.1409456555552234e-08,-2.4917019211166895e-08
