T(C),b(CaO),b(SiO2),b(H2O),Vol(aq),pH,nCa(aq),nCa(s),nSi(aq),nSi(s_reac),nPortlandite,nAmor-Sl,mCSHQ,nCa(CSHQ),nSi(CSHQ),nH2O(CSHQ),C/S(CSHQ),nGelPW(CSH)
25.0,0.7639792,0.5274445,5.344941,0.07154021,12.27345,0.0008644579,0.7631147,4.43427e-06,0.5274401,0.0,0.0,0.09940966,0.7631147,0.5274401,1.383563,1.446827,0.5660698
25.0,0.7122897,0.5340228,6.201397,0.0882199,12.11343,0.0007111565,0.7115785,8.540753e-06,0.5340143,0.0,0.0,0.09571903,0.7115785,0.5340143,1.317196,1.332509,0.5157342
25.0,0.3450122,0.2723851,5.365581,0.08523161,12.00785,0.0005294934,0.3444827,1.06749e-05,0.2723744,0.0,0.0,0.04734229,0.3444827,0.2723744,0.6471816,1.26474,0.2472933
25.0,0.6122888,0.4554071,3.913615,0.05027621,12.13013,0.0004225429,0.6118663,4.66244e-06,0.4554024,0.0,0.0,0.08203328,0.6118663,0.4554024,1.130088,1.343573,0.4443558
25.0,0.5054497,0.5841379,5.166152,0.07407188,11.36444,0.000115272,0.5053344,3.445247e-05,0.5841034,0.0,0.0,0.08264439,0.5053344,0.5841034,1.066377,0.8651454,0.3953071
25.0,0.6105059,0.6736028,6.409437,0.09285096,11.44586,0.0001670505,0.6103388,3.702266e-05,0.6735658,0.0,0.0,0.09758014,0.6103388,0.6735658,1.270209,0.906131,0.4703366
25.0,0.2713326,0.2373855,6.004264,0.09898264,11.81588,0.0003895504,0.270943,1.889693e-05,0.2373666,0.0,0.0,0.03891629,0.270943,0.2373666,0.5251372,1.141454,0.1945861
25.0,0.4232126,0.5822349,7.283811,0.1146755,10.84986,0.0001028089,0.4231098,0.000119299,0.5821156,0.0,0.0,0.0755813,0.4231098,0.5821156,0.9368922,0.7268484,0.3352414
25.0,0.6545289,0.4336033,4.509831,0.06023256,12.3466,0.000878733,0.6536502,2.95416e-06,0.4336003,0.0,0.0,0.08386237,0.6536502,0.4336003,1.174269,1.507495,0.4904256
25.0,0.3527622,0.4798271,3.726271,0.05325369,10.9093,4.923129e-05,0.352713,5.134197e-05,0.4797758,0.0,0.0,0.06263735,0.352713,0.4797758,0.7788453,0.7351621,0.2801246
25.0,0.4311371,0.6361017,5.161506,0.07576756,9.971935,7.388829e-05,0.4310632,0.0002262155,0.6358755,0.0,0.0,0.07981963,0.4310632,0.6358755,0.9680986,0.6779051,0.3318824
25.0,0.8499598,0.6267708,3.711132,0.03875397,12.14796,0.0003405886,0.8496192,3.429751e-06,0.6267674,0.0,0.0,0.1135062,0.8496192,0.6267674,1.565498,1.355558,0.618424
25.0,0.5909407,0.5747735,4.578075,0.06133893,11.6455,0.000164997,0.5907757,1.655316e-05,0.5747569,0.0,0.0,0.08897295,0.5907757,0.5747569,1.182879,1.02787,0.4351198
25.0,0.576155,0.5885884,3.729648,0.04622684,11.56942,0.0001059708,0.576049,1.449941e-05,0.5885739,0.0,0.0,0.08876281,0.576049,0.5885739,1.170973,0.97872,0.4315898
25.0,0.417983,0.489432,2.853977,0.035568,11.33979,5.311515e-05,0.4179299,1.731642e-05,0.4894147,0.0,0.0,0.06879232,0.4179299,0.4894147,0.885345,0.8539382,0.3281407
