T(C),b(CaO),b(SiO2),b(H2O),Vol(aq),pH,nCa(aq),nCa(s),nSi(aq),nSi(s_reac),nPortlandite,nAmor-Sl,mCSHQ,nCa(CSHQ),nSi(CSHQ),nH2O(CSHQ),C/S(CSHQ),nGelPW(CSH)
25.0,1.76115,0.5233304,5.921157,0.06330752,12.47261,0.001283146,1.759867,1.957232e-06,0.5233284,0.9084007,0.0,0.1063259,0.8514661,0.5233284,1.506166,1.627021,0.6441415
25.0,1.131412,0.2167358,5.963571,0.08237418,12.47261,0.001669649,1.129742,2.546713e-06,0.2167333,0.7771129,0.0,0.04403421,0.3526295,0.2167333,0.6237696,1.627021,0.2667672
25.0,1.347006,0.6077618,5.422157,0.05986732,12.47261,0.001213421,1.345793,1.85088e-06,0.6077599,0.3569547,0.0,0.12348,0.9888379,0.6077599,1.749165,1.627021,0.7480644
25.0,0.8911787,0.2438306,7.781422,0.118932,12.47261,0.002410601,0.8887681,3.676943e-06,0.2438269,0.4920567,0.0,0.04953889,0.3967114,0.2438269,0.7017466,1.627021,0.3001156
25.0,1.585997,0.2666181,7.4344,0.09960099,12.47261,0.002018725,1.583978,3.079302e-06,0.266615,1.15019,0.0,0.0541688,0.4337881,0.266615,0.7673319,1.627021,0.3281645
25.0,1.113972,0.2671048,4.874766,0.06188677,12.47261,0.001254354,1.112718,1.91329e-06,0.2671029,0.6781358,0.0,0.05426792,0.4345819,0.2671029,0.768736,1.627021,0.3287649
25.0,0.6987227,0.4261231,5.817678,0.08282292,12.47261,0.001678698,0.697044,2.560602e-06,0.4261205,0.003737108,0.0,0.08657591,0.6933069,0.4261205,1.226397,1.627021,0.5244927
25.0,1.527141,0.2967471,5.37996,0.06287904,12.47261,0.001274449,1.525867,1.943989e-06,0.2967452,1.043056,0.0,0.06029041,0.4828105,0.2967452,0.854048,1.627021,0.3652503
25.0,1.791266,0.59553,7.276245,0.08560587,12.47261,0.001735097,1.789531,2.64651e-06,0.5955274,0.8205957,0.0,0.1209947,0.9689352,0.5955274,1.713959,1.627021,0.7330079
25.0,1.678094,0.5178542,7.361529,0.09094509,12.47261,0.001843325,1.676251,2.811686e-06,0.5178514,0.8336958,0.0,0.1052131,0.8425549,0.5178514,1.490403,1.627021,0.6374001
