,R2,R2,R2,R2,RMSE,RMSE,RMSE,RMSE
modelSimulation,GPyModel_simulation,gbModel_simulation,lgbModel_simulation,rfModel_simulation,GPyModel_simulation,gbModel_simulation,lgbModel_simulation,rfModel_simulation
Var,,,,,,,,
C/S(CSHQ),0.9974550976301773,0.9946474169465187,0.9963828545367218,0.9962993720158019,0.0003221126164895752,0.0006774855305960951,0.0004578282464647491,0.0004683947709662464
Vol(aq),0.999378658860271,0.9980132984308865,0.9987659643742361,0.9983638011199084,5.82734332040039e-07,1.8632585834333063e-06,1.1573592670955784e-06,1.5345342526180035e-06
mCSHQ,0.9988922501121481,0.9989750803250524,0.9989785426362234,0.9990455125089218,9.601329162185355e-07,8.883405245072256e-07,8.853395953643474e-07,8.272940203858599e-07
nAmor-Sl,0.9980372884089591,0.9915412539572422,0.9953131921501225,0.9959543070767175,1.0522142716631763e-05,4.5347535252716266e-05,2.5126086434170452e-05,2.168905432706487e-05
nCa(CSHQ),0.9999996162877343,0.9999996162877343,0.9999996162877343,0.9999996162877343,2.430480371223658e-08,2.430480371223658e-08,2.430480371223658e-08,2.430480371223658e-08
nCa(aq),0.9979319492193368,0.9929663850983157,0.9938338411050667,0.991040881766469,1.1209156262906439e-09,3.812328462302248e-09,3.3421538407801407e-09,4.855981158513882e-09
nCa(s),0.9999999392338583,0.9999999392338583,0.9999999392338583,0.9999999392338583,1.4229989068783103e-08,1.4229989068783103e-08,1.4229989068783103e-08,1.4229989068783103e-08
nGelPW(CSH),0.9990445435310109,0.9990445435310109,0.9990445435310109,0.9990445435310109,3.410276845860701e-05,3.410276845860701e-05,3.410276845860701e-05,3.410276845860701e-05
nH2O(CSHQ),0.998661760150473,0.9986248799033557,0.998573631361742,0.998529603614559,0.00024421200982363463,0.00025094219296271876,0.00026029440987092675,0.0002683289222428088
nPortlandite,0.9996210730086812,0.998130743192333,0.9992939967368222,0.9992668100574126,5.4399122162232626e-05,0.00026835229942044175,0.00010135450532800898,0.00010525745108871963
nSi(CSHQ),0.9999999919436053,0.9999999919436053,0.9999999919436053,0.9999999919436053,1.7289194298489405e-10,1.7289194298489405e-10,1.7289194298489405e-10,1.7289194298489405e-10
nSi(aq),0.9802852176953861,0.9935584848593734,0.9895821809007502,0.9957095239671498,2.9696553754802723e-10,9.702912143809245e-11,1.5692454530237455e-10,6.462782605182973e-11
nSi(s_reac),0.999999991635904,0.999999991635904,0.999999991635904,0.999999991635904,1.7289190711677012e-10,1.7289190711677012e-10,1.7289190711677012e-10,1.7289190711677012e-10
pH,0.9699977218522509,0.993930946826099,0.9932130811436132,0.9955382090429542,0.02352259645989302,0.00475830161963939,0.005321127704990737,0.003498164627837162
