Var,R2,RMSE,modelSimulation
Vol(aq),0.9983638011199084,1.5345342526180035e-06,rfModel_simulation
pH,0.9955382090429542,0.003498164627837162,rfModel_simulation
nCa(aq),0.991040881766469,4.855981158513882e-09,rfModel_simulation
nCa(s),0.9999999392338583,1.4229989068783103e-08,rfModel_simulation
nSi(aq),0.9957095239671498,6.462782605182973e-11,rfModel_simulation
nSi(s_reac),0.999999991635904,1.7289190711677012e-10,rfModel_simulation
nPortlandite,0.9992668100574126,0.00010525745108871963,rfModel_simulation
nAmor-Sl,0.9959543070767175,2.168905432706487e-05,rfModel_simulation
mCSHQ,0.9990455125089218,8.272940203858599e-07,rfModel_simulation
nCa(CSHQ),0.9999996162877343,2.430480371223658e-08,rfModel_simulation
nSi(CSHQ),0.9999999919436053,1.7289194298489405e-10,rfModel_simulation
nH2O(CSHQ),0.998529603614559,0.0002683289222428088,rfModel_simulation
C/S(CSHQ),0.9962993720158019,0.0004683947709662464,rfModel_simulation
nGelPW(CSH),0.9990445435310109,3.410276845860701e-05,rfModel_simulation
Vol(aq),0.9987659643742361,1.1573592670955784e-06,lgbModel_simulation
pH,0.9932130811436132,0.005321127704990737,lgbModel_simulation
nCa(aq),0.9938338411050667,3.3421538407801407e-09,lgbModel_simulation
nCa(s),0.9999999392338583,1.4229989068783103e-08,lgbModel_simulation
nSi(aq),0.9895821809007502,1.5692454530237455e-10,lgbModel_simulation
nSi(s_reac),0.999999991635904,1.7289190711677012e-10,lgbModel_simulation
nPortlandite,0.9992939967368222,0.00010135450532800898,lgbModel_simulation
nAmor-Sl,0.9953131921501225,2.5126086434170452e-05,lgbModel_simulation
mCSHQ,0.9989785426362234,8.853395953643474e-07,lgbModel_simulation
nCa(CSHQ),0.9999996162877343,2.430480371223658e-08,lgbModel_simulation
nSi(CSHQ),0.9999999919436053,1.7289194298489405e-10,lgbModel_simulation
nH2O(CSHQ),0.998573631361742,0.00026029440987092675,lgbModel_simulation
C/S(CSHQ),0.9963828545367218,0.0004578282464647491,lgbModel_simulation
nGelPW(CSH),0.9990445435310109,3.410276845860701e-05,lgbModel_simulation
Vol(aq),0.9980132984308865,1.8632585834333063e-06,gbModel_simulation
pH,0.993930946826099,0.00475830161963939,gbModel_simulation
nCa(aq),0.9929663850983157,3.812328462302248e-09,gbModel_simulation
nCa(s),0.9999999392338583,1.4229989068783103e-08,gbModel_simulation
nSi(aq),0.9935584848593734,9.702912143809245e-11,gbModel_simulation
nSi(s_reac),0.999999991635904,1.7289190711677012e-10,gbModel_simulation
nPortlandite,0.998130743192333,0.00026835229942044175,gbModel_simulation
nAmor-Sl,0.9915412539572422,4.5347535252716266e-05,gbModel_simulation
mCSHQ,0.9989750803250524,8.883405245072256e-07,gbModel_simulation
nCa(CSHQ),0.9999996162877343,2.430480371223658e-08,gbModel_simulation
nSi(CSHQ),0.9999999919436053,1.7289194298489405e-10,gbModel_simulation
nH2O(CSHQ),0.9986248799033557,0.00025094219296271876,gbModel_simulation
C/S(CSHQ),0.9946474169465187,0.0006774855305960951,gbModel_simulation
nGelPW(CSH),0.9990445435310109,3.410276845860701e-05,gbModel_simulation
Vol(aq),0.999378658860271,5.82734332040039e-07,GPyModel_simulation
pH,0.9699977218522509,0.02352259645989302,GPyModel_simulation
nCa(aq),0.9979319492193368,1.1209156262906439e-09,GPyModel_simulation
nCa(s),0.9999999392338583,1.4229989068783103e-08,GPyModel_simulation
nSi(aq),0.9802852176953861,2.9696553754802723e-10,GPyModel_simulation
nSi(s_reac),0.999999991635904,1.7289190711677012e-10,GPyModel_simulation
nPortlandite,0.9996210730086812,5.4399122162232626e-05,GPyModel_simulation
nAmor-Sl,0.9980372884089591,1.0522142716631763e-05,GPyModel_simulation
mCSHQ,0.9988922501121481,9.601329162185355e-07,GPyModel_simulation
nCa(CSHQ),0.9999996162877343,2.430480371223658e-08,GPyModel_simulation
nSi(CSHQ),0.9999999919436053,1.7289194298489405e-10,GPyModel_simulation
nH2O(CSHQ),0.998661760150473,0.00024421200982363463,GPyModel_simulation
C/S(CSHQ),0.9974550976301773,0.0003221126164895752,GPyModel_simulation
nGelPW(CSH),0.9990445435310109,3.410276845860701e-05,GPyModel_simulation
