T(C),b(CaO),b(SiO2),b(H2O),Vol(aq),pH,nCa(aq),nCa(s),nSi(aq),nSi(s_reac),nPortlandite,nAmor-Sl,mCSHQ,nCa(CSHQ),nSi(CSHQ),nH2O(CSHQ),C/S(CSHQ),nGelPW(CSH)
25.0,0.230538,0.4391028,3.103534,0.04671743,9.793657,4.903429e-05,0.230489,0.0001840841,0.4389187,0.0,0.0974016,0.04277613,0.230489,0.3415171,0.5179535,0.6748973,0.1769656
25.0,0.358449,0.6424162,4.546444,0.06759584,9.793654,7.093075e-05,0.3583781,0.0002663403,0.6421499,0.0,0.1111386,0.06651089,0.3583781,0.5310113,0.8053452,0.6748973,0.2751567
25.0,0.1185268,0.4108686,8.160245,0.1426364,9.793653,0.0001496614,0.1183771,0.0005619828,0.4103066,0.0,0.2349064,0.02196945,0.1183771,0.1754002,0.2660164,0.6748974,0.090888
25.0,0.179587,0.5917861,7.763487,0.132988,9.793657,0.0001395831,0.1794474,0.0005240647,0.591262,0.0,0.3253736,0.0333034,0.1794474,0.2658885,0.4032532,0.6748973,0.1377767
25.0,0.2374174,0.5891829,2.843038,0.04173114,9.793655,4.379311e-05,0.2373736,0.0001644338,0.5890185,0.0,0.2373003,0.04405384,0.2373736,0.3517181,0.5334246,0.6748973,0.1822515
25.0,0.1065161,0.2038107,4.25439,0.07254839,9.793656,7.614151e-05,0.10644,0.0002858796,0.2035248,0.0,0.04581198,0.01975404,0.10644,0.1577128,0.2391913,0.6748972,0.08172282
25.0,0.1155005,0.2288231,4.061221,0.06869317,9.793655,7.208657e-05,0.1154284,0.0002706752,0.2285524,0.0,0.05752134,0.0214222,0.1154284,0.1710311,0.2593901,0.6748973,0.08862401
25.0,0.2768712,0.5490112,4.90095,0.07731394,9.793654,8.1124e-05,0.2767901,0.000304622,0.5487066,0.0,0.1385848,0.05136908,0.2767901,0.4101218,0.6220011,0.6748973,0.2125148
25.0,0.1582534,0.6541787,3.677299,0.06002002,9.793655,6.298473e-05,0.1581904,0.0002365058,0.6539422,0.0,0.4195504,0.02935834,0.1581904,0.2343918,0.3554846,0.6748973,0.121456
25.0,0.1778162,0.5904522,8.247926,0.1418133,9.793655,0.0001488185,0.1776674,0.000558797,0.5898934,0.0,0.3266424,0.03297304,0.1776674,0.263251,0.3992532,0.6748974,0.1364101
