T(C),b(CaO),b(SiO2),b(H2O),Vol(aq),pH,nCa(aq),nCa(s),nSi(aq),nSi(s_reac),nPortlandite,nAmor-Sl,mCSHQ,nCa(CSHQ),nSi(CSHQ),nH2O(CSHQ),C/S(CSHQ),nGelPW(CSH)
25.0,0.1397548,0.3191873,3.300797,0.05396807,9.793655,5.663391e-05,0.1396982,0.0002126568,0.3189746,0.0,0.1119829,0.02592639,0.1396982,0.2069917,0.3139289,0.6748973,0.1072579
25.0,0.3298926,0.5973412,7.968164,0.1305831,9.793654,0.0001370248,0.3297556,0.0005144996,0.5968267,0.0,0.1082256,0.06119888,0.3297556,0.4886011,0.7410248,0.6748973,0.2531808
25.0,0.1238602,0.3691984,4.656035,0.07910154,9.793652,8.298926e-05,0.1237772,0.0003116411,0.3688868,0.0,0.1854852,0.02297164,0.1237772,0.1834016,0.2781514,0.6748972,0.09503407
25.0,0.3548036,0.6263085,6.063414,0.0951543,9.793655,9.985627e-05,0.3547037,0.000374935,0.6259336,0.0,0.1003665,0.06582897,0.3547037,0.525567,0.7970882,0.6748973,0.2723356
25.0,0.4556456,0.6862102,6.580764,0.1004077,9.793655,0.0001053701,0.4555402,0.0003955944,0.6858146,0.0,0.01083742,0.08454308,0.4555402,0.6749772,1.023687,0.6748972,0.3497562
25.0,0.3875902,0.5912911,6.760411,0.1064172,9.793655,0.000111674,0.3874785,0.0004193302,0.5908718,0.0,0.01674215,0.0719116,0.3874785,0.5741296,0.8707395,0.6748973,0.2974995
25.0,0.2550046,0.6617195,3.62897,0.05521817,9.793653,5.793449e-05,0.2549467,0.0002175538,0.6615019,0.0,0.2837457,0.0473152,0.2549467,0.3777563,0.5729147,0.6748972,0.1957438
25.0,0.2366633,0.511222,8.218362,0.1388896,9.793654,0.000145737,0.2365176,0.0005472334,0.5106748,0.0,0.1602251,0.04389496,0.2365176,0.3504497,0.5315009,0.6748973,0.1815942
25.0,0.2519425,0.6555587,3.089722,0.04559873,9.793655,4.785045e-05,0.2518946,0.0001796695,0.655379,0.0,0.282145,0.04674878,0.2518946,0.3732341,0.5660562,0.6748973,0.1934005
25.0,0.171522,0.5513934,4.373079,0.07205344,9.793655,7.561329e-05,0.1714464,0.0002839145,0.5511095,0.0,0.2970762,0.0318185,0.1714464,0.2540333,0.3852733,0.6748972,0.1316337
25.0,0.1313526,0.5464196,6.10318,0.1049461,9.793655,0.0001101302,0.1312425,0.000413535,0.5460061,0.0,0.3515432,0.0243571,0.1312425,0.1944628,0.2949273,0.6748974,0.1007658
25.0,0.2697987,0.4672755,4.789778,0.07559235,9.793655,7.932491e-05,0.2697194,0.0002978615,0.4669776,0.0,0.06733258,0.05005684,0.2697194,0.3996451,0.6061119,0.6748973,0.207086
25.0,0.3671282,0.6732843,6.328228,0.09943884,9.793657,0.0001043645,0.3670238,0.0003918725,0.6728924,0.0,0.1290707,0.06811544,0.3670238,0.5438218,0.8247739,0.6748973,0.2817948
25.0,0.1188729,0.5149805,6.012496,0.1038142,9.793659,0.000108973,0.1187639,0.000409118,0.5145714,0.0,0.338598,0.02204123,0.1187639,0.1759733,0.2668856,0.6748973,0.09118496
25.0,0.1078357,0.6604115,4.58744,0.07851276,9.793655,8.239127e-05,0.1077533,0.0003093533,0.6601021,0.0,0.5004433,0.01999779,0.1077533,0.1596589,0.2421426,0.6748972,0.08273118
25.0,0.1216821,0.6140469,5.294679,0.09072978,9.793657,9.522724e-05,0.1215869,0.0003575282,0.6136894,0.0,0.4335332,0.02256514,0.1215869,0.1801561,0.2732293,0.6748972,0.09335237
25.0,0.3098289,0.5430953,8.090421,0.1336069,9.793655,0.0001402031,0.3096887,0.0005263993,0.5425689,0.0,0.08370102,0.05747469,0.3096887,0.4588679,0.6959307,0.6748973,0.2377738
25.0,0.2945572,0.6680599,4.208541,0.06408453,9.793653,6.72409e-05,0.29449,0.0002524925,0.6678074,0.0,0.2314596,0.05465398,0.29449,0.4363478,0.6617762,0.6748973,0.2261045
25.0,0.2653061,0.5392733,3.83797,0.05857635,9.793656,6.147421e-05,0.2652446,0.0002308084,0.5390425,0.0,0.1460277,0.04922638,0.2652446,0.3930148,0.5960562,0.6748972,0.2036504
25.0,0.2442784,0.6718011,5.647706,0.09213066,9.793655,9.668106e-05,0.2441817,0.0003630267,0.6714381,0.0,0.3096323,0.04531734,0.2441817,0.3618057,0.5487238,0.6748973,0.1874787
25.0,0.4452917,0.6691248,6.521359,0.09975473,9.793655,0.0001046829,0.445187,0.0003930375,0.6687318,0.0,0.009095025,0.08262164,0.445187,0.6596367,1.000422,0.6748972,0.3418072
25.0,0.1454864,0.2279184,4.814516,0.08108703,9.793653,8.509005e-05,0.1454013,0.0003195306,0.2275989,0.0,0.01215671,0.02698483,0.1454013,0.2154422,0.326745,0.6748972,0.1116367
25.0,0.1108789,0.4522838,5.83412,0.1009157,9.793655,0.0001059008,0.110773,0.0003976495,0.4518862,0.0,0.2877531,0.0205582,0.110773,0.1641331,0.2489284,0.6748974,0.08504967
25.0,0.2467949,0.3829954,3.35688,0.05063508,9.793653,5.312752e-05,0.2467418,0.0001994971,0.3827959,0.0,0.01719691,0.04579246,0.2467418,0.365599,0.5544767,0.6748973,0.1894442
25.0,0.1053224,0.6891328,7.023793,0.1226378,9.793655,0.0001286959,0.1051937,0.0004832275,0.6886496,0.0,0.5327833,0.01952275,0.1051937,0.1558662,0.2363907,0.6748973,0.08076597
25.0,0.1441403,0.582497,8.159357,0.1415803,9.793655,0.0001485742,0.1439917,0.0005578659,0.5819391,0.0,0.3685856,0.02672322,0.1439917,0.2133535,0.3235774,0.6748973,0.1105544
25.0,0.2312427,0.439104,3.411736,0.05225778,9.793657,5.484641e-05,0.2311879,0.0002059216,0.4388981,0.0,0.09634542,0.04290583,0.2311879,0.3425527,0.519524,0.6748973,0.1775022
25.0,0.178252,0.3438766,2.872883,0.04467282,9.793655,4.687967e-05,0.1782051,0.0001760204,0.3437006,0.0,0.0796528,0.03307284,0.1782051,0.2640478,0.4004615,0.6748972,0.1368229
